Index,Meta-Llama-3.1-8B-Instruct,Meta-Llama-3.1-70B-Instruct,Qwen2-72B-Instruct,tulu-2-dpo-70b,Meta-Llama-3.1-8B-Instruct_sum,Meta-Llama-3.1-8B-Instruct_average,Meta-Llama-3.1-70B-Instruct_sum,Meta-Llama-3.1-70B-Instruct_average,Qwen2-72B-Instruct_sum,Qwen2-72B-Instruct_average,tulu-2-dpo-70b_sum,tulu-2-dpo-70b_average
0,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
1,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
2,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
3,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
4,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
5,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
6,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
7,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
8,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
9,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
10,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
11,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
12,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
13,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
14,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
15,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
16,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
17,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
18,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
19,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
20,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
21,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
22,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
23,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
24,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
25,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
26,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
27,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
28,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
29,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
30,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
31,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
32,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
33,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
34,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
35,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
36,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
37,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
38,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
39,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
40,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
41,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
42,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
43,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
44,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
45,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
46,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
47,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
48,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
49,23:24:3,14:32:4,30:18:2,43:5:2,50,16.67,50,16.67,50,16.67,50,16.67
0,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
1,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
2,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
3,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
4,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
5,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
6,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
7,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
8,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
9,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
10,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
11,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
12,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
13,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
14,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
15,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
